Reported Date,Monitor ID,Monitor UUID,Monitor Name,Monitor Tags,Media ID,Media Name,Playback Date,Media Duration,Media Tags
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825815,cliente5_v14,2025-08-01 00:37:22.790967+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825863,cliente6_v14,2025-08-01 00:37:28.997512+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825908,cliente7_v14,2025-08-01 00:37:35.202976+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825973,cliente9_v14,2025-08-01 00:37:41.407400+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826011,cliente10_v14,2025-08-01 00:37:47.612597+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826044,cliente11_v14,2025-08-01 00:37:53.821385+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826069,cliente12_v14,2025-08-01 00:38:01.168631+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826179,cliente13_v14,2025-08-01 00:38:06.764429+00:00,4920,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826222,cliente14_v14,2025-08-01 00:38:13.507095+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826249,cliente15_v14,2025-08-01 00:38:20.072096+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826306,cliente16_v14,2025-08-01 00:38:25.722453+00:00,5000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826348,cliente17_v14,2025-08-01 00:38:32.374671+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826386,cliente18_v14,2025-08-01 00:38:38.998937+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826428,cliente19_v14,2025-08-01 00:38:44.549767+00:00,4920,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826451,cliente20_v14,2025-08-01 00:38:51.307394+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826544,cliente21_v14,2025-08-01 00:38:57.172596+00:00,5160,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826586,cliente22_v14,2025-08-01 00:39:03.839415+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826643,cliente23_v14,2025-08-01 00:39:09.495298+00:00,5040,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826674,cliente24_v14,2025-08-01 00:39:16.176875+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826726,cliente25_v14,2025-08-01 00:39:22.333844+00:00,5400,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826757,cliente26_v14,2025-08-01 00:39:28.337240+00:00,5280,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826805,cliente27_v14,2025-08-01 00:39:35.002741+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826826,cliente28_v14,2025-08-01 00:39:41.498829+00:00,5840,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826915,cliente29_v14,2025-08-01 00:39:48.131228+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826946,cliente30_v14,2025-08-01 00:39:54.836802+00:00,6070,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825348,cliente1_v15,2025-08-01 00:40:01.404846+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825396,cliente2_v15,2025-08-01 00:40:07.614185+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825736,cliente3_v15,2025-08-01 00:40:13.820037+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825768,cliente4_v15,2025-08-01 00:40:20.025268+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825814,cliente5_v15,2025-08-01 00:40:26.232947+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825862,cliente6_v15,2025-08-01 00:40:32.436999+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825907,cliente7_v15,2025-08-01 00:40:38.642443+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825948,cliente8_v15,2025-08-01 00:40:44.847343+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825975,cliente9_v15,2025-08-01 00:40:51.052782+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826010,cliente10_v15,2025-08-01 00:40:57.257450+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826048,cliente11_v15,2025-08-01 00:41:03.463382+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826068,cliente12_v15,2025-08-01 00:41:10.783323+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826176,cliente13_v15,2025-08-01 00:41:16.336770+00:00,4920,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826221,cliente14_v15,2025-08-01 00:41:22.985226+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826247,cliente15_v15,2025-08-01 00:41:29.659586+00:00,6000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826305,cliente16_v15,2025-08-01 00:41:35.347925+00:00,5000,[]
2025-08-01 23:36:09.674710+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826347,cliente17_v15,2025-08-01 00:41:41.996201+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826384,cliente18_v15,2025-08-01 00:41:48.597378+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826430,cliente19_v15,2025-08-01 00:41:54.152302+00:00,4920,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826449,cliente20_v15,2025-08-01 00:42:00.827146+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826540,cliente21_v15,2025-08-01 00:42:06.648718+00:00,5160,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826587,cliente22_v15,2025-08-01 00:42:13.276505+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826641,cliente23_v15,2025-08-01 00:42:18.974001+00:00,5040,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826673,cliente24_v15,2025-08-01 00:42:25.622530+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826728,cliente25_v15,2025-08-01 00:42:31.640044+00:00,5400,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826760,cliente26_v15,2025-08-01 00:42:37.554802+00:00,5280,[]
